teamname_name,teamname_url,teamname_KDA,teamname_Kill,teamname_helper,teamname_death,teamname_economy,teamname_wintime,teamname_losetime
WE,https://www.wanplus.com/kog/team/6275,4,11.3,27.8,9.7,56255,1128.74,1152.34
RNG.M,https://www.wanplus.com/kog/team/4739,4,11.5,27,9.6,59832,1149.7,1262.04
GK,https://www.wanplus.com/kog/team/4472,3.8,11.2,25.7,9.7,60852,1199.53,1289.03
eStarPro,https://www.wanplus.com/kog/team/4458,3.7,10.8,25.4,9.8,54523,1083,1084.84
QGhappy,https://www.wanplus.com/kog/team/4496,3.5,9.3,21.9,8.8,57788,1190.5,1178.97
Ts,https://www.wanplus.com/kog/team/5352,3.4,10,21.9,9.3,61911,1185.14,1270.26
RWä¾,https://www.wanplus.com/kog/team/6449,3.3,10.6,25,10.7,57254,1157.12,1131.42
EDG.M,https://www.wanplus.com/kog/team/4471,3.2,9.7,23.4,10.2,56420,1241.96,1117.89
XQ,https://www.wanplus.com/kog/team/4460,3.2,10,23.7,10.5,63511,1476.32,1238.74
VG,https://www.wanplus.com/kog/team/4468,3.1,8.7,20.7,9.4,53383,1033.08,1156.97
Hero,https://www.wanplus.com/kog/team/5354,3.1,10.8,25.1,11.6,59637,1254.24,1153.04
BAé»__æ¢,https://www.wanplus.com/kog/team/4734,2.9,9.8,22.7,11.2,57375,1144.39,1172.32
TES,https://www.wanplus.com/kog/team/6268,2.9,8.7,20.1,10.1,50996,1195,1041.37
YTG,https://www.wanplus.com/kog/team/4476,2.8,10.7,23.2,12.2,54340,1009.31,1186.59
DYG.JC,https://www.wanplus.com/kog/team/4473,2.7,9.4,21.4,11.5,55694,1204.42,1129.39