PlayerName	Team	KDA	TeamRating	kill	death	assist
DYG.JC.ÐÇÓî	RNG.M	7.6	0.764	2	1	5.6
RWÏÀ.Yguo	RWÏÀ	7	0.778	2.9	1.2	5.4
RNGM.±©·çÈñ	RNG.M	7	0.784	3.3	1.3	5.9
RNGM.ò¯³Ï	RNG.M	5.8	0.754	4	1.5	4.6
WE.DogRan	WE	5.6	0.76	3	1.5	5.6
TES.ÐÄ×í	TES	5.5	0.746	2.5	1.2	4
VG.Ð¦	VG	5.5	0.783	2.7	1.3	4.2
eStarPro.»¨...	eStarPro	5.4	0.72	3.6	1.4	4.2
RNGM.°×Óð	RNG.M	5.3	0.593	1.7	1	3.7
EDGM.³õ³¿	EDG.M	5.2	0.777	3.7	1.5	3.9
GK.Çà·ã	GK	5.1	0.738	2.7	1.6	5.6
WE.762	WE	4.9	0.671	3.1	1.6	4.5
DYG.JC.ÇàÀË	DYG.JC	4.6	0.71	2.5	1.5	4.2
XQ.Ku	XQ	4.5	0.846	0.7	1.8	7.2
QGhappy.Mo...	QGhappy	4.5	0.727	2.4	1.6	4.6
QGhappy.Hu...	QGhappy	4.5	0.728	3	1.5	3.9
AG³¬Íæ»á.Ð¡½£	BAºÚ·ïÀæ	4.5	0.722	2	1.6	5
RNGM.°¢¶·	RNG.M	4.4	0.69	3.3	3	10
EDGM.ÀËÀË	EDG.M	4.3	0.764	2.5	1.7	5
XQ.¾ÅÎ²	XQ	4.2	0.739	3	1.8	4.4
GK.ÒÁ¶÷	QGhappy	4.1	0.744	0.9	1.8	6.7
Hero.¾Ã³Ï	Hero	4.1	0.741	2.8	2	5.2
Ts.ÆÆËé	Ts	4	0.696	2.5	1.8	4.9
AG³¬Íæ»á.MC	eStarPro	4	0.8	0.8	1.8	6.5
WE.994	WE	3.9	0.749	0.5	2.2	8
GK.°¢¸Ä	GK	3.9	0.613	1.5	1.8	5.4
eStarPro.Cat	eStarPro	3.8	0.726	3	2	4.9
TES.½­Áê	TES	3.8	0.741	1.8	1.5	3.8
GK.ÅôÅô	GK	3.8	0.697	3.8	2.1	4.2
eStarPro.ÎÞÃú	eStarPro	3.8	0.727	0.5	2.1	7.5
YTG.ÇçÒ»	YTG	3.7	0.721	2.9	2.1	5.1
Ts.Ê®Èý	Ts	3.7	0.631	2.7	1.7	3.6
RWÏÀ.Hmanlou	RWÏÀ	3.7	0.683	2.9	2	4.3
JC.ÄÏÄ¾	DYG.JC	3.6	0.781	0.6	2.2	7.5
VG.¿Õ	VG	3.5	0.683	2.1	1.7	3.9
XQ.°óÍÃ	WE	3.5	0.689	3.2	2.2	4.6
Ts.Ê«¾Æ	Ts	3.5	0.62	1.9	1.5	3.2
VG.ÅÖ¶Õ	GK	3.5	0.715	0.8	2.3	7.3
XQ.Ç¥³Ç	XQ	3.4	0.641	2.5	1.9	4
EDGM.ÄûèÙ	Hero	3.4	0.534	2.2	1.7	3.6
YTG.ÏÄÌì	YTG	3.4	0.719	3.5	2.3	4.2
QGhppy.139	BAºÚ·ïÀæ	3.4	0.661	3.2	2	3.5
AG³¬Íæ»á.Top	BAºÚ·ïÀæ	3.4	0.712	0.8	2.4	7.2
XQ.1987	XQ	3.3	0.654	3.1	2.1	3.9
TES.µÀ¶û	TES	3.3	0.706	3.2	2.2	4
RNGM.ÓêÓê	RNG.M	3.3	0.48	1.8	1.6	3.6
RNGM.Á¹³¿	RNG.M	3.2	0.589	1.7	2.1	5.1
Ts.°¢¶¹	Ts	3.2	0.653	0.6	2	5.9
Ts.Å¯Ñô	Ts	3.2	0.699	3	2.2	4
TES.ÃÔÉñ	TES	3.2	0.525	2.6	1.9	3.3